String ,Count
predicate logic,8
standard forms,1
logical symbolism,2
simple sentences,1
peter,1
jane,3
sam,1
logical formulae,1
term ` argument,1
pop-11,2
predicate arguments,1
consider,1
respectable villager worships,1
moment 's reflection,1
respectable villager,2
own deity,1
quantification,1
general way,1
certain class,2
unspecified thing,1
's friends,1
if,2
then,3
and,4
expressions `,1
respectable villagers,2
and if,1
clear way,1
original sentence,1
distinct propositions,1
margaret,1
neil,1
ecumenical peace,1
such ambiguities,1
predicate,3
long pedigree,1
aristotle,1
current form,1
conceptual structures,1
analytical techniques,1
ai,6
lisp,1
popular knowledge representation symbolism,1
systematic procedures,1
certain formulae,1
such logical inference procedures,1
rich,1
formal kind,1
representation mechanism,1
fashion conceptual tools,1
popular method,1
inference procedure,1
a. robinson,1
special form,1
predicate calculus formulae,1
prolog,2
programming,1
logic,1
resolution inference mechanism,1
clocksin,1
mellish,1
powerful tool,1
large section,1
nationalities,1
particular person,1
labyrinthine provisions,1
sergot,1
