String ,Count
learning objectives,2
mobile telecommunication technologies,3
learn,6
network,15
concept,1
threats,1
viruses,2
worms,1
trojan,3
spams understand,1
cookies learn,1
firewall learn,1
india it,1
cyber,4
cyber crimes,3
ipr,2
hacking learn,1
web,28
www,8
hyper text markup language,1
html,10
markup language,3
xml,9
hyper text transfer protocol,1
http,14
domain names,2
url,10
website,2
web servers,1
web hosting,1
web scripting,1
client,2
vb script,2
java script,2
php,4
server,5
asp,3
jsp,2
mobile,6
cellular networks,1
cellular network,1
radio network,1
cell site,1
base station,1
network uses,1
different frequency,2
radio coverage,1
large geographical area,2
mobile devices,1
base stations,1
remarkable growth,1
mobile industry,1
mobile technology,2
systems offering,1
mobile telephone service,1
late 1940s,1
early 1950s,1
europe,2
cell systems,1
low capacity,2
poor speech quality,1
semiconductor technology,1
mobile systems,5
chapter-4,1
internet,32
computer,21
mobile systems fdma cdma tdma,1
late 1970s,1
early 1980s.the 1g,1
mobile system,3
analog cellular technology,1
voice facility,1
mobile systems voice,1
radio towers,1
major drawbacks,1
1g system,1
poor voice links,1
frequency,1
multiple access,3
user utilizes,1
frequency bandwidth,1
own frequency domain,1
code,1
unique code sequence,1
sender 's end,1
data signal,2
unique code,2
receiver decodes,1
original data,1
time division,1
time intervals,1
different,1
users transmit,2
different time slots,1
whole frequency bandwidth,1
early 1990s,1
digital signals,4
sms,1
fax services,1
data conversations,1
2g system,1
gsm,6
etsi,1
global,1
mobile communication,1
fdma,1
tdma,1
wireless provider information,1
interchangeable modules,1
sim,2
subscriber identification module,1
switch phones,1
gprs,2
packet,2
radio service,1
2.5g services,1
mms,1
major step,1
3g technology,2
multimedia facilities,1
2g phones,1
graphics applications,1
video telephony,1
different types,2
asia,1
universal mobile telecommunications,1
umts,1
imt-2000,2
data rates,1
style applications,1
main characteristics,1
3g systems,1
compatible standards,1
mobile applications,1
support,1
data transmission,3
data,7
mbps,5
high bandwidth efficiency 4g networks,1
wireless access technology,1
better-than-tv quality images,1
security deals,1
network administrator,1
network resources,3
adequate access,1
load applications shows,1
unpredictable program behaviour shows,1
inexplicable changes,1
file sizes,1
strange graphics,1
virus,1
host program,4
gain control,1
owner 's knowledge,1
concepts virus,1
external media,1
cds,1
internet sites,1
email attachments,1
file virus,1
viruses infect,3
ms-dos,1
program files,1
exe,1
com,1
boot,2
sector virus,1
boot sector,1
floppy disks,1
drive contains,1
macro,1
ms,2
office program suite,1
ms excel,1
virus inserts,1
worm,1
independent object.it uses security holes,1
computer networks,1
worm scans,1
specific security hole,1
new machine,1
security hole,1
malicious functions,1
trojan horses,1
trick users,1
legitimate programs,1
true nature,1
central server,1
ids,1
trojans,1
term spam,1
endless repetition,1
worthless text,1
spam,1
times internet,1
multiple copies,1
people 's time,1
network bandwidth,1
user browses,1
web server sends,2
text file,1
web browser.this,1
small text file,1
cookie contains,1
id,1
hard drive,2
expiry date,1
types,4
worm trojan,1
spam cookies computer,1
firewall cyber,1
network security system,1
worms etc,1
firewalls,1
internet users,1
private networks,1
intranet,1
security criteria,1
firewall examines,1
certain criteria,3
firewall filters,1
outbound traffic,1
cybercrime,1
illegitimate way,1
computer technology,1
personal information,1
business trade secrets,1
malicious purposes,1
cybercrimes,1
cyber stalking,1
illegal downloads,1
plagiarism software,1
copyright violation,1
counterfeit hardware,1
black market sales,1
new technologies fraud,1
credit card fraud,1
fraudulent use,1
atm,1
stock market transfers,1
telecommunications fraud,1
human activity,1
legal system,1
physical world,1
india,2
cyber laws,1
privacy issues,1
jurisdiction issues,1
intellectual property rights issues,1
legal questions,1
statutory laws,1
criminal activities,1
cyber world,1
true sense,1
information technology act,1
ita2000,1
above act,1
it amendment,1
itaa-2008,1
it,1
word 'computer,1
'computer system,1
electronic device,2
data processing capability,1
computer functions,1
memory functions,1
output capabilities,1
programmable gadgets,1
tampering,1
computer source documents,1
hacking,2
electronic form -section,1
intellectual,2
property rights,2
exclusive right,1
his/her creation,1
certain period,1
intellectual property,1
patent,1
specific product,1
exclusive rights,1
product design,1
legal action,2
mathematical discovery,1
artistic work,1
trademark,2
different sign,1
specific person,2
brand name.it,1
copyright,1
literary works,1
musical works,1
cyber offences under the it act,1
issues,1
patents,1
trademarks,1
copyrights,1
dramatic works,1
music pantomimes,1
motion pictures,1
audio visual,1
sound recordings architectural,1
computer programs,1
m.i.t,1
harmless technical experiments,1
fun learning activities,1
computer enthusiast,2
hacker accesses,1
cracking,1
hypertext markup language,1
web content,3
web document,1
extension .htm,1
hypertext,2
extensible markup language,1
store data,1
display data,1
new tags,1
w3c,1
documents form,1
tree structure,1
example,2
... ..,1
introduction,1
hypertext information retrieval system,1
tim berners,1
web pages,6
interchange information,1
hypertext jumps,1
electronic document,1
displays information,1
graphical form,1
downloadable data files,1
audio files,1
video files,1
traversal,1
web page,10
static,1
information whenever,1
static web page,2
dynamic,2
interactive web page,1
dynamic webpage,1
dynamic web page uses,1
javascript,1
vbscript,1
perl,1
python,1
ruby,1
dynamic web pages,1
client-side scripting,1
key press,1
keyboard action,1
such pages,2
user 's,1
local computer,1
scripting,1
page display,1
current time,1
submission forms,1
related,1
wen domain,1
web pages support,1
particular entity,1
software program,1
bowser interprets,1
graphic form,1
web browser,6
software languages,1
client -server model,1
web server,7
web address,1
text,1
graphical,1
uniform resource locator,1
text string,2
network resource,3
text documents,1
downloadable files,1
network protocol host name,1
address file,1
resource location,2
network protocol,1
short names,1
host name,3
hosts,1
school.com,1
domain name,4
host,2
ip,22
domain name www.school.com,1
address 192.2.100.1.an,1
binary number,1
identifies computers,1
tcp/ip,10
uniform,1
resource locator,1
network protocol url host/server computer,1
one-to-one relationship,1
dns,3
domain nameserver,1
large network,1
host names,1
specific network resource,1
host directory,1
file name,1
location element,1
// www.school.com/,1
root directory,1
stores web pages,1
client/server model,2
special programs,1
apache,1
iis,1
http protocol,1
browser.the machine,1
page content,1
multiple websites,1
term web,1
o'reilly media,1
new generation,1
interactive websites,1
websites uses,1
ajax,2
asynchronous javascript,1
dynamic website,1
url resource location web server web,1
entire page,1
website interactive,1
applications,1
rss,1
collaborative applications interactive encyclopaedias,1
advanced gaming,1
network protocols computer,1
transmission,5
protocol,3
tcp,2
destination computer,2
proper order,1
intermediate network,1
detect errors,1
trigger retransmission,1
internet protocol,2
address part,1
right destination,1
distinct address,1
data packet,1
gateway computer,1
network checks,1
unique identifier,1
host connection,1
bit binary number,1
decimal values,1
decimal points,1
different organizations,1
gateway machines,1
client/server mode,1
computer user,1
point-to-point transmission,1
higher-level applications,1
client request,1
new request,1
previous one.till,1
complete message,1
transmission path,1
ordinary phone conversations,1
entire call duration,1
network paths,1
ascii,3
ftp,17
application protocol,1
tcp/ipprotocols,1
client/server,2
ftp command,1
remote address,1
clients identify,1
efficient means,1
remote host,3
file transfer,1
control information,1
control connection,1
entire interactive,1
data connection,1
simple command,1
windows ms-dos prompt,1
commercial program,1
graphical user interface,2
download programs,1
web browser.by,1
copy files,1
available files,1
ftp.in,1
email address,1
user name,1
client program,2
plain text,1
binary files,1
binary file,1
music file,2
text mode,1
video etc,2
communication protocol,1
hypertextmarkuplanguag,1
creates hyperlinks,1
various commands,1
communication,1
client occurs,1
request/response pair,1
user clicks,1
hypertext link,1
computer uses,1
server accepts,1
hypertext transfer protocol,1
general fashion,1
important features,1
firstly,1
client disconnects,1
response.to process,1
secondly,1
data content,1
thirdly http,1
different request,1
ppp,6
point-to-point protocol,1
usedfor communication,1
serial interface,1
personal computer,1
phone line,1
internet serviceprovider,1
isp,5
isp'sserver,1
telephone lines,3
supports transmission,1
network packets,1
serial point,1
essentially,2
computer 's,1
serial transmission lines,1
isdn,1
multiple links,1
various authentication schemes,1
password authentication protocol,1
pap,1
challenge handshake authentication,1
chap,1
simple,2
smtp,17
transfer protocol,2
email software,1
communication purposes,1
outgoing messages,1
provider,3
message transfer agents,1
mta,4
client computer,1
messages,1
error message,2
email messages,1
different parts,1
email message,1
multiple recipients,1
message body,1
e-mail protocols computer,1
code words,1
email server software,1
communication rules,1
own way,1
recipient address,1
major disadvantage,1
fake sender address,1
someone,1
esmtp,2
extended simple,1
email program,5
communication codes,1
mail extension,1
mime,2
supplementary protocol,1
please,1
post office,2
protocol version,1
pop3,7
widespread method,1
respective host,1
retrieve messages,1
client server protocol,1
high success rate,1
